base,slope,intercept,r_value,p_value,stderr
1,-0.00490269372491,1.5764808002656,-0.899406500644561,1.80686710067583E-91,0.000150998622625
2,-0.009805383515083,3.15296072868526,-0.899406364993105,1.80715468167469E-91,0.000301997362451
3,-0.014708077275659,4.72944149136786,-0.899406304289668,1.80728338761172E-91,0.000452996265384
4,-0.019610777833428,6.30592341168659,-0.899406330998429,1.80722675747229E-91,0.000603995177115
5,-0.024513473769683,7.8824044435591,-0.899406391644873,1.80709817636208E-91,0.000754993750468
6,-0.029416169159552,9.45888605710491,-0.899406276326363,1.8073426796237E-91,0.000905993128114
7,-0.03431885759059,11.0353657755644,-0.899406388693864,1.80710443280998E-91,0.001056991093653
8,-0.03922154473155,12.6118452682603,-0.899406418169655,1.8070419420177E-91,0.001207989404669
9,-0.044124249903244,14.1883280756972,-0.899406421264234,1.8070353814128E-91,0.001358988427842
10,-0.049026937249099,15.764808002656,-0.899406500644561,1.80686710067608E-91,0.001509986226251
11,-0.053929631128818,17.3412889136786,-0.899406422153345,1.80703349647222E-91,0.001660985612296
12,-0.058832320720926,18.9177685166003,-0.899406492019085,1.80688538532833E-91,0.00181198343993
13,-0.063735027744261,20.4942515683931,-0.899406246634788,1.80740563828494E-91,0.001962985282689
14,-0.068637690707646,22.0707261925631,-0.899406364847303,1.80715499079715E-91,0.00211398172689
15,-0.073540406511099,23.6472124143426,-0.899406336218968,1.80721568865723E-91,0.002264981526163
16,-0.078443060170746,25.2236842549801,-0.899406404707758,1.80707048193853E-91,0.002415978096418
17,-0.083345791470309,26.8001722722444,-0.899406291071653,1.80731141419829E-91,0.002566979658046
18,-0.08824846978562,28.3766499017264,-0.899406275334079,1.80734478364878E-91,0.002717978239123
19,-0.093151193921457,29.9531389760956,-0.899406331382234,1.80722594370978E-91,0.002868977060639
20,-0.098053835150825,31.5296072868526,-0.899406364993105,1.80715468167428E-91,0.003019973624511
21,-0.102956568969835,33.1060964621514,-0.899406367931166,1.80714845250495E-91,0.00317097354698
22,-0.107859251231265,34.6825749017264,-0.899406359936391,1.80716540278069E-91,0.003321972087698
23,-0.112761950832859,36.2590598419655,-0.899406455529238,1.80696274009694E-91,0.003472969083068
24,-0.117664615458167,37.8355307729084,-0.899406368355459,1.80714755293713E-91,0.003623968687433
25,-0.122567314536141,39.412014187251,-0.89940639130084,1.80709890574803E-91,0.003774967087128
26,-0.127470031796623,40.98849875166,-0.899406398739753,1.80708313456376E-91,0.00392596636076
27,-0.132372719134889,42.5649779203187,-0.899406336125762,1.80721588627614E-91,0.004076966361694
28,-0.137275410920129,44.1414561540505,-0.89940631084323,1.80726949203992E-91,0.004227965691162
29,-0.142178111075697,45.7179397171315,-0.89940637661581,1.80713003977E-91,0.004378963002629
30,-0.147080772756593,47.2944149136786,-0.899406304289668,1.80728338761203E-91,0.004529962653845
31,-0.151983505520774,48.8709070916335,-0.899406357635052,1.80717028203766E-91,0.004680961198305
32,-0.156886211041548,50.4473861354582,-0.899406332517797,1.80722353603563E-91,0.00483196101613
33,-0.161788901992032,52.0238670119522,-0.899406337407625,1.80721316842218E-91,0.004982959559247
34,-0.166691612900778,53.6003497875166,-0.899406433075505,1.80701034135997E-91,0.005133955996474
35,-0.171594273875925,55.1768246215139,-0.899406344036904,1.80719911285065E-91,0.00528495640807
36,-0.176496972490988,56.7533036520584,-0.899406398027195,1.80708464524699E-91,0.005435953611076
37,-0.181399630127111,58.3297826826029,-0.899406387489705,1.807106985759E-91,0.005586951554949
38,-0.186302350673496,59.9062683399735,-0.899406381239895,1.80712023609789E-91,0.005737951311759
39,-0.191205072282299,61.4827565737052,-0.899406397877327,1.80708496297947E-91,0.005888950327964
40,-0.196107778334282,63.0592341168659,-0.899406330998429,1.80722675747229E-91,0.006039951771148
41,-0.201010424359704,64.6357079282869,-0.899406320801005,1.8072483786928E-91,0.006190949441103
42,-0.205913116220831,66.2121901593626,-0.899406324056886,1.80724147534081E-91,0.006341948044193
43,-0.210815827812559,67.7886730544489,-0.899406428434739,1.80702017980539E-91,0.006492943428547
